"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","[HTTP][Postgres] Filter by account id. Completed purchase operation","tests.suites.http","2026-08-30","passed","2026-08-30","TestOperationsHTTP","test_operations","",""
"","62","[HTTP] Get user details. User with active credit card account","tests.suites.http","2026-08-30","passed","2026-08-30","TestGatewayHTTP","test_gateway","",""
"","33","[gRPC][Postgres] Filter by card id. In progress purchase operation","tests.suites.grpc","2026-08-30","passed","2026-08-30","TestOperationsGRPC","test_operations","",""
"","27","[gRPC] Get user details. User with active credit card account","tests.suites.grpc","2026-08-30","passed","2026-08-30","TestGatewayGRPC","test_gateway","",""
"","56","[HTTP] Get account details. User with active debit card account","tests.suites.http","2026-08-30","passed","2026-08-30","TestGatewayHTTP","test_gateway","",""
"","559","[HTTP][Kafka] Operation events. In progress purchase operation","tests.suites.http","2026-08-30","passed","2026-08-30","TestOperationsHTTP","test_operations","",""
"","16","[HTTP][Postgres] Filter by card id. In progress purchase operation","tests.suites.http","2026-08-30","passed","2026-08-30","TestOperationsHTTP","test_operations","",""
"","513","[gRPC][Kafka] Operation events. Completed purchase operation","tests.suites.grpc","2026-08-30","passed","2026-08-30","TestOperationsGRPC","test_operations","",""
"","554","[HTTP][Kafka] Operation events. Completed purchase operation","tests.suites.http","2026-08-30","passed","2026-08-30","TestOperationsHTTP","test_operations","",""
"","557","[gRPC][Kafka] Operation events. In progress purchase operation","tests.suites.grpc","2026-08-30","passed","2026-08-30","TestOperationsGRPC","test_operations","",""
"","11","[gRPC][Postgres] Filter by account id. Completed purchase operation","tests.suites.grpc","2026-08-30","passed","2026-08-30","TestOperationsGRPC","test_operations","",""
"","22","[gRPC] Get account details. User with active debit card account","tests.suites.grpc","2026-08-30","passed","2026-08-30","TestGatewayGRPC","test_gateway","",""
